,0,1
MGLU3,71.6500015258789,79.3499984741211
HAPV3,62.16999816894531,64.62000274658203
MDIA3,40.61000061035156,40.5
BBAS3,32.150001525878906,34.90999984741211
ITUB4,25.450000762939453,27.799999237060547
B3SA3,55.09000015258789,66.2300033569336
VALE3,55.91999816894531,61.369998931884766
PETR4,21.549999237060547,23.200000762939453
EQTL3,23.219999313354492,25.010000228881836
GGBR4,16.010000228881836,17.84000015258789
BBSE3,27.270000457763672,28.489999771118164
VVAR3,15.3100004196167,18.90999984741211
MRFG3,12.609999656677246,14.880000114440918
LWSA3,43.20000076293945,43.849998474121094
OMGE3,37.720001220703125,35.689998626708984
KLBN11,20.68000030517578,21.440000534057617
BSEV3,3.369999885559082,3.7699999809265137
BRAP4,36.5099983215332,43.63999938964844
AGRO3,20.959999084472656,21.799999237060547
EGIE3,42.09000015258789,44.369998931884766
LREN3,41.79999923706055,40.0
CSAN3,70.91999816894531,83.0
JHSF3,7.099999904632568,9.229999542236328
CYRE3,22.850000381469727,25.979999542236328
COGN3,6.610000133514404,8.329999923706055
BBDC4,20.700000762939453,23.68000030517578
ITSA4,9.59000015258789,11.020000457763672
POSI3,5.199999809265137,5.400000095367432
MRVE3,18.0,19.65999984741211
SQIA3,19.239999771118164,23.950000762939453
ENBR3,17.420000076293945,18.489999771118164
WEGE3,50.61000061035156,69.94999694824219
FLRY3,24.59000015258789,24.299999237060547
SAPR4,6.28000020980835,5.989999771118164
MOVI3,13.149999618530273,15.829999923706055
HBOR3,2.950000047683716,2.859999895095825
BPAC11,77.19999694824219,87.70999908447266
SAPR11,31.649999618530273,29.790000915527344
BBDC3,18.959999084472656,21.579999923706055
LCAM3,16.93000030517578,18.059999465942383
BRFS3,21.260000228881836,20.1200008392334
ELET3,31.0,39.29999923706055
PTNT4,4.440000057220459,4.630000114440918
BRSR6,13.550000190734863,14.470000267028809
JSLG3,23.18000030517578,27.850000381469727
RADL3,110.62000274658203,117.66000366210938
JBSS3,21.149999618530273,21.979999542236328
PRIO3,35.38999938964844,40.13999938964844
MILS3,5.400000095367432,7.849999904632568
TAEE11,28.469999313354492,28.639999389648438
RENT3,40.90999984741211,45.40999984741211
TIET11,15.6899995803833,16.649999618530273
IRBR3,11.0,8.170000076293945
STBP3,5.510000228881836,5.420000076293945
CIEL3,4.619999885559082,5.239999771118164
PETR3,22.34000015258789,23.770000457763672
TAEE3,9.430000305175781,9.539999961853027
POMO3,2.7699999809265137,2.75
AZUL4,20.110000610351562,20.709999084472656
EZTC3,39.900001525878906,39.5099983215332
BEEF3,13.149999618530273,14.079999923706055
